epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
33,fixmatch,137.23547792434692,1742.90283203125,2162.0,1.46761,,,0.3054386946023442,0.03515485300522414,0.2702838414988946,0.6674281830200925,,,72.79,,,,,72.42630124092102,,,,,,,,,
34,fixmatch,137.3709261417389,1742.90283203125,2162.0,1.46761,,,0.28944944802788086,0.026428664021750592,0.2630207844194956,0.6706804833374918,,,72.65,,,,,72.27954864501953,,,,,,,,,
35,fixmatch,137.1368899345398,1742.90283203125,2162.0,1.46761,,,0.29251871709129773,0.023272589310067815,0.26924612776201684,0.6913801237242296,,,73.41,,,,,73.13111424446106,,,,,,,,,
36,fixmatch,137.32766008377075,1742.90283203125,2162.0,1.46761,,,0.28709523371071555,0.01755742291274487,0.26953781087649986,0.6989833605475724,,,73.9,,,,,73.72036576271057,,,,,,,,,
37,fixmatch,137.44617819786072,1742.90283203125,2162.0,1.46761,,,0.28501889380277134,0.019680685054083824,0.2653382089920342,0.7029942438239232,,,73.94,,,,,73.68118166923523,,,,,,,,,
38,fixmatch,137.1740186214447,1742.90283203125,2162.0,1.46761,,,0.2920298134267796,0.02578885622781968,0.2662409572803881,0.69933213328477,,,74.27,,,,,74.04797673225403,,,,,,,,,
39,fixmatch,137.18724250793457,1742.90283203125,2162.0,1.46761,,,0.27923753153299913,0.018411751363203166,0.26082578039495274,0.7057146683800966,,,74.74,,,,,74.58961606025696,,,,,,,,,
40,fixmatch,137.1103539466858,1742.90283203125,2162.0,1.46761,,,0.2707592193619348,0.012141308611205659,0.2586179106729105,0.7212088783271611,,,75.09,,,,,74.95927214622498,,,,,,,,,
41,fixmatch,137.16586995124817,1742.90283203125,2162.0,1.46761,,,0.26944290680694394,0.012749576783306793,0.25669333009864204,0.7256557258078828,,,75.38,,,,,75.24212598800659,,,,,,,,,
42,fixmatch,137.19130969047546,1742.90283203125,2162.0,1.46761,,,0.26684112468501553,0.013316015029488426,0.25352510961238295,0.7286813255632296,,,75.46,,,,,75.29937028884888,,,,,,,,,
43,fixmatch,137.2316026687622,1742.90283203125,2162.0,1.46761,,,0.2605690375348786,0.010431809858175711,0.2501372276165057,0.7353951920522377,,,75.73,,,,,75.59493780136108,,,,,,,,,
44,fixmatch,137.10107898712158,1742.90283203125,2162.0,1.46761,,,0.25689834015793167,0.009171085669891,0.24772725498769432,0.742710693157278,,,75.92,,,,,75.81238746643066,,,,,,,,,
45,fixmatch,137.41160249710083,1742.90283203125,2162.0,1.46761,,,0.26001018736860715,0.013420860635619647,0.2465893269109074,0.7404436718206853,,,76.22,,,,,76.10131502151489,,,,,,,,,
46,fixmatch,137.16196703910828,1742.90283203125,2162.0,1.46761,,,0.2453997955453815,0.007308704200340799,0.2380910917854635,0.7477504524867982,,,76.51,,,,,76.37030482292175,,,,,,,,,
47,fixmatch,137.21783924102783,1742.90283203125,2162.0,1.46761,,,0.24168072221800685,0.006171210304842134,0.23550951210199855,0.756992919370532,,,76.49,,,,,76.36167407035828,,,,,,,,,
48,fixmatch,137.1945559978485,1742.90283203125,2162.0,1.46761,,,0.235618329141289,0.004780439668877534,0.23083788996154908,0.7600969932973385,,,76.58,,,,,76.4391303062439,,,,,,,,,
49,fixmatch,137.14412927627563,1742.90283203125,2162.0,1.46761,,,0.23188082469278015,0.004625954327721615,0.22725487069692463,0.7677263878285885,,,76.62,,,,,76.47818922996521,,,,,,,,,
50,fixmatch,137.4014437198639,1742.90283203125,2162.0,1.46761,,,0.22937743661168497,0.003525419852394407,0.2258520169853,0.7723824977874756,,,76.69,,,,,76.5668272972107,,,,,,,,,
