epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
7,major,1,17542,9721,11530,0.9516912402428448,8676,0.9882434301521439
7,major,2,18657,13851,11475,0.7222657952069717,8607,0.8652259788544209
7,major,3,16855,13077,11504,0.6311717663421419,8378,0.7567438529481977
7,major,4,11970,9486,11521,0.5797239822932038,8280,0.711231884057971
7,major,5,6410,5263,11458,0.397800663292023,8692,0.46721122871606074
7,major,6,5714,4683,11432,0.42529741077676697,7876,0.5234890807516506
7,major,7,4839,4171,11418,0.37808723068838673,7738,0.49676919100542777
7,major,8,2503,2276,11450,0.2124890829694323,3288,0.6763990267639902
7,major,9,3290,2842,11439,0.27703470583092926,4252,0.6514581373471308
7,minor,0,5015,3320,11461,0.36968850885612076,8237,0.3597183440573024
7,minor,1,9427,6548,11530,0.7066782307025152,8789,0.6924564796905223
7,minor,2,7635,5610,11475,0.40287581699346403,8743,0.43955164131305047
7,minor,3,11295,8392,11504,0.4500173852573018,9262,0.4721442453033902
7,minor,4,16598,13827,11521,0.6854439718774412,10109,0.7276684142843011
7,minor,5,14157,12168,11458,0.6375458195147495,9966,0.6910495685330122
7,minor,6,12833,11567,11432,0.7102869139258222,10126,0.7679241556389492
7,minor,7,10026,8972,11418,0.5902960238220354,10187,0.6346323745950722
7,minor,8,13622,12329,11450,0.74882096069869,9896,0.8283144704931286
7,minor,9,14080,12870,11439,0.8015560800769298,10288,0.8650855365474339
8,major,0,25674,5370,11486,0.9400139300017413,5120,0.92734375
8,major,1,16828,9267,11439,0.957076667540869,8557,0.9863269837559893
8,major,2,17838,13542,11565,0.7342844790315607,8912,0.8605251346499102
8,major,3,17387,14322,11435,0.6785308264101443,8896,0.7920413669064749
8,major,4,11674,9650,11421,0.6066894317485334,8545,0.7290813341135167
8,major,5,6342,5367,11458,0.4100192005585617,9144,0.4675196850393701
8,major,6,6227,5330,11529,0.4712464220660942,8359,0.5727957889699725
8,major,7,5393,4796,11459,0.4244698490269657,8207,0.5391738759595467
8,major,8,3104,2855,11450,0.26253275109170304,3758,0.7442788717402874
8,major,9,4221,3843,11446,0.35549536956141886,4844,0.7753922378199835
8,minor,0,5907,3512,11486,0.43679261709907713,7919,0.40270236140926885
8,minor,1,9819,6328,11439,0.7628289186117667,8211,0.7365728900255755
8,minor,2,9601,7403,11565,0.5078253350626891,9247,0.5446090623986157
8,minor,3,12546,10000,11435,0.5247923043288151,9574,0.5545226655525382
8,minor,4,15567,13434,11421,0.7093074161632081,10203,0.7497794766245222
8,minor,5,12339,10903,11458,0.6156397277011695,10129,0.6605785368743212
8,minor,6,12422,11308,11529,0.7160204701188307,10303,0.7684169659322527
8,minor,7,9767,8917,11459,0.6113098874247317,10286,0.6576900641648843
8,minor,8,12741,11643,11450,0.7655021834061135,10041,0.841748829797829
8,minor,9,13979,12907,11446,0.843788222959986,10442,0.9034667688182341
9,major,0,24895,5240,11474,0.9460519435244902,4974,0.9336550060313631
9,major,1,16725,9075,11442,0.9595350463205733,8451,0.9848538634481127
9,major,2,17666,13490,11450,0.7553711790393013,9027,0.8693918245264207
9,major,3,16577,13949,11467,0.6812592657190198,9107,0.7890633578565939
9,major,4,11856,10264,11538,0.6362454498179927,9035,0.751300498063088
9,major,5,6854,6041,11490,0.44873803307223675,9496,0.5066343723673126
9,major,6,6486,5663,11385,0.4951251646903821,8500,0.5965882352941176
9,major,7,5843,5286,11477,0.4590920972379542,8506,0.5758288267105572
9,major,8,3428,3212,11518,0.291196388261851,4142,0.7624336069531628
9,major,9,4358,4036,11447,0.369965929937975,5018,0.7889597449182941
9,minor,0,6518,3484,11474,0.481610597873453,7613,0.42007093130172074
9,minor,1,10360,6203,11442,0.8032686593252928,7804,0.7693490517683239
9,minor,2,10123,8094,11450,0.5489956331877729,9432,0.58725614927905
9,minor,3,13511,11277,11467,0.585506235283858,9979,0.6142900090189398
9,minor,4,14731,13085,11538,0.7201421390188941,10479,0.7583738906384196
9,minor,5,11999,10917,11490,0.6306353350739774,10429,0.6688081311726916
9,minor,6,11863,10998,11385,0.7203337725076856,10316,0.7692904226444358
9,minor,7,10033,9262,11477,0.6376230722314193,10545,0.6743480322427691
9,minor,8,12635,11719,11518,0.7828616079180414,10165,0.8602065912444663
9,minor,9,12915,12113,11447,0.8403948632829562,10390,0.9066410009624639
10,major,0,24979,5243,11474,0.9491894718493986,5041,0.9319579448522118
10,major,1,16393,9082,11519,0.9621494921434153,8511,0.9863705792503819
10,major,2,16963,13465,11402,0.7710927907384669,9186,0.8799259743087307
10,major,3,16514,14188,11514,0.696630189334723,9354,0.7991233696814197
10,major,4,11621,10184,11420,0.6574430823117338,9140,0.7647702407002188
10,major,5,7079,6308,11440,0.4701048951048951,9628,0.5235770668882426
10,major,6,6621,5795,11498,0.5066098451904679,8713,0.6008263514288994
10,major,7,6305,5774,11498,0.498347538702383,8735,0.6133943903835146
10,major,8,3451,3251,11403,0.2969394019117776,4079,0.7857317970090708
10,major,9,4762,4465,11520,0.40251736111111114,5368,0.8163189269746647
10,minor,0,6654,3491,11474,0.4994770786125153,7487,0.43421931347669296
10,minor,1,10235,6195,11519,0.8005035159302023,7894,0.7637446161641753
10,minor,2,10215,8159,11402,0.5748991405016664,9396,0.6162196679438059
10,minor,3,13418,11374,11514,0.5937988535695675,10134,0.6223603710282218
10,minor,4,14359,12775,11420,0.7384413309982487,10410,0.7756003842459174
10,minor,5,11826,10794,11440,0.6321678321678321,10463,0.6666348083723598
10,minor,6,11925,11039,11498,0.7242129065924509,10471,0.7701270174768408
10,minor,7,10292,9534,11498,0.6649852148199686,10562,0.7046014012497633
10,minor,8,12375,11491,11403,0.7893536788564413,10114,0.8595016808384418
10,minor,9,13389,12632,11520,0.8575520833333333,10553,0.9193594238605136
11,major,0,24016,5071,11408,0.9533660589060309,4985,0.9327983951855566
11,major,1,16279,8788,11494,0.9620671654776405,8358,0.9863603732950467
11,major,2,17141,13456,11496,0.7876652748782185,9324,0.888996138996139
11,major,3,16553,14470,11486,0.7130419641302456,9543,0.8092842921513151
11,major,4,10996,9822,11407,0.6573156833523275,9176,0.7723408892763731
11,major,5,7067,6386,11483,0.4729600278672821,9744,0.5269909688013136
11,major,6,6987,6322,11536,0.5433425797503467,8908,0.6489672204759767
11,major,7,6548,6115,11421,0.5270116452149549,8932,0.6396103896103896
11,major,8,4199,3978,11494,0.35731686097094134,4692,0.8333333333333334
11,major,9,4902,4631,11463,0.4168193317630638,5377,0.8458248093732564
11,minor,0,6994,3446,11408,0.5368162692847125,7179,0.4568881459813344
11,minor,1,10247,6121,11494,0.8173829824256134,7724,0.775116519937856
11,minor,2,10408,8304,11496,0.6016005567153793,9534,0.6362492133417244
11,minor,3,14045,12061,11486,0.6283301410412676,10232,0.6566653635652854
11,minor,4,13938,12586,11407,0.7535723678443061,10470,0.7891117478510029
11,minor,5,11191,10257,11483,0.6232691805277366,10550,0.6554502369668247
11,minor,6,11878,11120,11536,0.7386442441054092,10592,0.7820996978851964
11,minor,7,10346,9700,11421,0.6847036161456965,10539,0.7247366922857956
11,minor,8,12632,11743,11494,0.8065947450843919,10295,0.8744050509956289
11,minor,9,13009,12384,11463,0.8660909011602548,10607,0.9242009993400585
12,major,0,23799,4997,11469,0.9534397070363588,4986,0.9326113116726835
12,major,1,16071,8688,11410,0.9645048203330412,8294,0.986375693272245
12,major,2,16242,13090,11425,0.7822319474835886,9390,0.8844515441959532
12,major,3,16615,14742,11406,0.7230405049973698,9613,0.8146260272547592
12,major,4,11457,10420,11483,0.7019071671166072,9565,0.8051228437009932
12,major,5,7372,6743,11535,0.5011703511053316,9944,0.5520917135961384
12,major,6,7095,6465,11435,0.5571491036292086,9115,0.650575973669775
12,major,7,6789,6333,11568,0.539073305670816,9132,0.6500219010074464
12,major,8,4354,4137,11460,0.3694589877835951,4813,0.8431331809682111
12,major,9,4894,4587,11497,0.41671740454031486,5350,0.8446728971962617
12,minor,0,7400,3418,11469,0.5708431423838173,6902,0.47580411474934803
12,minor,1,10442,6024,11410,0.8325153374233129,7451,0.7945242249362502
12,minor,2,11206,8744,11425,0.6451641137855579,9502,0.6774363291938539
12,minor,3,13844,12139,11406,0.6396633350867964,10216,0.6722787783868441
12,minor,4,13548,12380,11483,0.7771488287033005,10646,0.8111966935938381
12,minor,5,11141,10324,11535,0.6379713914174252,10635,0.6720263281617301
12,minor,6,11449,10746,11435,0.7504153913423699,10457,0.794969876637659
12,minor,7,10278,9667,11568,0.7015905947441217,10687,0.7409937307008515
12,minor,8,12716,11927,11460,0.830890052356021,10392,0.8952078521939953
12,minor,9,12664,12076,11497,0.8600504479429416,10557,0.9233683811688926
13,major,0,23144,4881,11491,0.9569228091549908,4854,0.9416975690152452
13,major,1,15832,8485,11486,0.9685704335713042,8177,0.989360401125107
13,major,2,16385,13105,11526,0.7977615825091099,9524,0.8898572028559428
13,major,3,16501,14922,11476,0.7248170094109446,9762,0.8140749846342963
13,major,4,10997,10159,11539,0.6977207730305919,9666,0.7992965032071178
13,major,5,7499,6878,11401,0.508551881413911,10012,0.5521374350779065
13,major,6,7223,6713,11456,0.571054469273743,9290,0.6659849300322928
13,major,7,6988,6592,11377,0.5655269403181858,9167,0.6728482600632705
13,major,8,4694,4491,11485,0.400435350457118,5118,0.8638139898397812
13,major,9,5425,5176,11451,0.46572351759671643,5832,0.8770576131687243
13,minor,0,8090,3409,11491,0.6132625533025846,6402,0.514058106841612
13,minor,1,10793,6038,11486,0.8619188577398572,7252,0.8200496414782129
13,minor,2,11759,9012,11526,0.6798542425819886,9548,0.7104105571847508
13,minor,3,14144,12536,11476,0.6685256186824677,10283,0.7040746863755714
13,minor,4,13237,12184,11539,0.7784903371176012,10691,0.8163876157515667
13,minor,5,10374,9656,11401,0.6252960266643277,10568,0.6558478425435277
13,minor,6,11298,10662,11456,0.7548882681564246,10514,0.802453871029104
